year,cottonwood,rock,murray,lincoln,pipestone,redwood,jackson,lyon,nobles
2018,28265000,21949000,28392000,N/A,N/A,38662000,30937000,31837000,33218000
2017,36528000,26999000,34093000,17413000,19681000,45606000,37495000,33299000,39848000
2016,35500000,27082000,33054000,22623000,20673000,47156000,36767000,37477000,37572000
2015,35956000,27171000,36261000,20507000,17536000,45246000,37032000,34716000,39187000
2014,30462000,19743000,27928000,17738000,15270000,39126000,31022000,27643000,32533000
2013,30976000,25397000,32799000,19645000,19178000,41958000,35037000,29878000,35532000
2012,27426000,21953000,26682000,17546000,14505000,40029000,35448000,29452000,30469000
2011,28785000,24060000,29160000,16290000,15140000,35330000,31345000,26065000,35525000
2010,30102000,23785000,30473000,17100000,17410000,42962000,36112000,29581000,33933000
2009,31629000,22900000,31709000,17644000,16774000,44176000,34926000,30809000,35035000
2008,30500000,24080000,29140000,13770000,15650000,38600000,30750000,27370000,33850000
2007,32258800,22400000,28809900,17197200,14182000,38391600,31996900,28545000,32970000
2006,30323600,22011600,29353500,14420500,14752700,41294100,28608000,29073000,31406000
2005,31648000,24776000,31922800,17019200,17212800,43334400,33628800,31950000,36203200
2004,30537500,20192400,28381500,13092400,14314300,40321800,32292000,28256000,33000800
2003,24446100,17490800,23688000,12212000,12718200,34458400,26691200,23842000,26014500
2002,25794400,17414500,24438700,11564800,12756800,35231500,27135000,26086500,24705000
2001,19976400,15184000,20345400,11119800,11974500,30132000,20414000,21918400,20135400
